model_id,estimator,omitted_panel_id,omitted_case_id,omitted_province,omitted_city,omitted_exit_type,omitted_outcome,full_sample_elite_effect,leave_one_out_elite_effect,delta,absolute_delta,absolute_delta_relative_to_full_effect,sign_changed,matrix_rank,columns,converged,iterations,note,scaling_rule
matched_gold_historical_firth,firth_logit,gold_0021,expand_hlj_harbin_chengtou,Heilongjiang,Harbin,nominal_exit,0,0.05554090,0.05514850,-0.00039241,0.00039241,0.00706519,False,2,2,True,9,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0022,expand_hb_xiaogan_chengtou,Hubei,Xiaogan,functional_transfer,1,0.05554090,0.05790467,0.00236376,0.00236376,0.04255892,False,2,2,True,10,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0023,expand_tj_jinghai_chengtou,Tianjin,Jinghai,nominal_exit,0,0.05554090,0.05549348,-0.00004742,0.00004742,0.00085379,False,2,2,True,9,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0024,expand_jx_zhanggong_jiantou,Jiangxi,Ganzhou Zhanggong,nominal_exit,0,0.05554090,0.05517771,-0.00036320,0.00036320,0.00653930,False,2,2,True,9,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0025,expand_zj_wenling_guotou,Zhejiang,Wenling,functional_transfer,1,0.05554090,0.05844560,0.00290470,0.00290470,0.05229836,False,2,2,True,10,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0026,expand_js_yixing_chengfa,Jiangsu,Yixing,functional_transfer,1,0.05554090,0.04871665,-0.00682425,0.00682425,0.12286897,False,2,2,True,10,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0027,expand_fj_fuzhou_guozi,Fujian,Fuzhou,functional_transfer,1,0.05554090,0.04814424,-0.00739666,0.00739666,0.13317504,False,2,2,True,10,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0028,expand_js_zhenjiang_industry,Jiangsu,Zhenjiang,nominal_exit,0,0.05554090,0.05598122,0.00044031,0.00044031,0.00792771,False,2,2,True,9,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0029,expand_js_jiangning_guozi,Jiangsu,Nanjing Jiangning,nominal_exit,0,0.05554090,0.05568287,0.00014196,0.00014196,0.00255599,False,2,2,True,9,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0030,expand_js_changshu_invest,Jiangsu,Changshu,functional_transfer,1,0.05554090,0.04336109,-0.01217981,0.01217981,0.21929447,False,2,2,True,10,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0031,expand_ah_suzhou_chengtou,Anhui,Suzhou,nominal_exit,0,0.05554090,0.05516683,-0.00037407,0.00037407,0.00673507,False,2,2,True,9,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0032,expand_hb_huangshi_chengfa,Hubei,Huangshi,nominal_exit,0,0.05554090,0.05520679,-0.00033411,0.00033411,0.00601566,False,2,2,True,9,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0033,expand_js_yancheng_chengnan,Jiangsu,Yancheng,nominal_exit,0,0.05554090,0.05515418,-0.00038672,0.00038672,0.00696284,False,2,2,True,9,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0034,expand_js_suzhou_xiangcheng,Jiangsu,Suzhou Xiangcheng,nominal_exit,0,0.05554090,0.05952397,0.00398307,0.00398307,0.07171417,False,2,2,True,10,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0035,expand_sd_linyi_chengtou,Shandong,Linyi,nominal_exit,0,0.05554090,0.05518389,-0.00035701,0.00035701,0.00642792,False,2,2,True,9,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0036,expand_jx_jian_chengtou,Jiangxi,Ji'an,nominal_exit,0,0.05554090,0.05539728,-0.00014363,0.00014363,0.00258600,False,2,2,True,9,,full-sample standardization retained after deletion
