validation_unit_id,issuer_key,issuer_name,scope_disposition,screen_status,origin_count,source_row_ids,reference_case_id,reference_label,outcome_status,origin_document_ids_missing,current_scope_document_ids
mv_17100b41e197,南京江宁交通建设集团有限公司,南京江宁交通建设集团有限公司,eligible,screen_positive_nominal,1,sch_20260630_0144,,,unknown,0,doc_sch_20260630_0144_005
mv_17e532a3b4ee,四川省乡村发展集团有限公司,四川省乡村发展集团有限公司,ineligible,screen_positive_nominal,1,sch_20260630_0001,,,unknown,0,doc_sch_20260630_0001_006;doc_sch_20260630_0001_007
mv_18c49cc8c4cc,长沙天心城市发展集团有限公司,长沙天心城市发展集团有限公司,eligible,screen_positive_nominal,1,sch_20260630_0024,,,unknown,0,doc_sch_20260630_0024_009
mv_1d97639f04bd,苏州市轨道交通集团有限公司,苏州市轨道交通集团有限公司,eligible,screen_positive_nominal,1,sch_20260630_0063,,,unknown,0,doc_sch_20260630_0063_002
mv_2547f5fbc2e2,深圳国际控股有限公司,深圳国际控股有限公司,ineligible,screen_positive_nominal,1,exp10_20260704_0013,,,unknown,0,doc_exp10_20260704_0013_006
mv_2643f3f32c31,中国核工业华兴建设有限公司,中国核工业华兴建设有限公司,ineligible,screened_no_direct_formal_event,2,sch_20260630_0156;sch_20260630_0162,,,unknown,0,doc_sch_20260630_0156_001
mv_29bec224b1af,北京首都旅游集团有限责任公司,北京首都旅游集团有限责任公司,ineligible,screened_no_direct_formal_event,1,exp9_20260704_0247,,,unknown,0,doc_exp9_20260704_0247_001
mv_2b1017e1ef59,陕西有色金属控股集团有限责任公司,陕西有色金属控股集团有限责任公司,ineligible,screened_no_direct_formal_event,1,sch_20260630_0039,,,unknown,0,doc_sch_20260630_0039_003
mv_2d4fb850c8e8,江西省国有资本运营控股集团有限公司,江西省国有资本运营控股集团有限公司,ineligible,screen_positive_nominal,1,sch_20260630_0157,,,unknown,0,doc_sch_20260630_0157_002;doc_sch_20260630_0157_008
mv_2ebc0f045324,中交路桥建设有限公司,中交路桥建设有限公司,ineligible,screened_no_direct_formal_event,1,sch_20260630_0105,,,unknown,0,doc_sch_20260630_0105_003
mv_2f9f77975978,北京市燃气集团有限责任公司,北京市燃气集团有限责任公司,ineligible,screened_no_direct_formal_event,1,exp9_20260704_0182,,,unknown,0,doc_exp9_20260704_0182_004
mv_312664814132,广西交通投资集团有限公司,广西交通投资集团有限公司,ineligible,screen_positive_nominal,5,sch_20260630_0128;sch_20260630_0133;sch_20260630_0146;sch_20260630_0158;sch_20260630_0174,,,unknown,0,doc_sch_20260630_0128_005
mv_3134f5ad5182,吉安市井冈山开发区金庐陵经济发展有限公司,吉安市井冈山开发区金庐陵经济发展有限公司,eligible,screened_no_direct_formal_event,1,sch_20260630_0011,,,unknown,0,web_chinamoney_jinluling_2025_rating
mv_31dd4fd107b5,河南交通投资集团有限公司,河南交通投资集团有限公司,ineligible,screen_positive_nominal,1,exp_20260703_0003,,,unknown,0,doc_exp_20260703_0003_007
mv_32559fdf4bd7,贵阳市城市发展投资集团股份有限公司,贵阳市城市发展投资集团股份有限公司,ineligible,screened_no_direct_formal_event,1,pilot_gz_001_alt_chengfa,,,unknown,1,web_chinamoney_guizhou_expressway_2024_base
mv_32814f16ef6f,中煤矿山建设集团有限责任公司,中煤矿山建设集团有限责任公司,ineligible,screen_positive_nominal,1,sch_20260630_0061,,,unknown,0,doc_sch_20260630_0061_008
mv_337bebdb56b3,广西投资集团金融控股有限公司,广西投资集团金融控股有限公司,ineligible,screen_positive_nominal,1,sch_20260630_0026,,,unknown,0,doc_sch_20260630_0026_009
mv_337e721d68ed,青岛胶州湾发展集团有限公司,青岛胶州湾发展集团有限公司,eligible,screen_positive_nominal,1,sch_20260630_0145,,,unknown,0,doc_sch_20260630_0145_004
mv_339f72153d34,重庆市江津区滨江新城开发建设集团有限公司,重庆市江津区滨江新城开发建设集团有限公司,eligible,screen_positive_nominal,1,sch_20260630_0167,,,unknown,0,doc_sch_20260630_0167_006
mv_3425e0da3953,陕西交通控股集团有限公司,陕西交通控股集团有限公司,ineligible,screen_positive_nominal,1,sch_20260630_0034,,,unknown,0,doc_sch_20260630_0034_004
mv_349e0a09a9ca,贵州高速公路集团有限公司,贵州高速公路集团有限公司,ineligible,screen_positive_nominal,1,exp10_20260704_0071,,,unknown,0,doc_exp10_20260704_0071_006
mv_35577ffe2ec5,遵义道桥建设集团有限公司,遵义道桥建设集团有限公司,eligible,screened_no_direct_formal_event,1,pilot_gz_002,,,unknown,0,doc_gz_zy_daoqiao_2015_bond_prospectus;web_csrc_zunyi_daoqiao_current_name
mv_3707ecbfb1f2,临沂投资发展集团有限公司,临沂投资发展集团有限公司,eligible,screened_no_direct_formal_event,1,sch_20260630_0040,,,unknown,0,web_chinamoney_linyi_2026_rating;web_linyi_sasac_profile
mv_376b84e910d7,上海静安置业集团有限公司,上海静安置业(集团)有限公司,eligible,screen_positive_nominal,1,exp9_20260704_0183,,,unknown,0,doc_exp9_20260704_0183_005;doc_exp9_20260704_0183_008
mv_3b9c491fbf5a,扬州建工控股集团有限公司,扬州建工控股集团有限公司,ineligible,screen_positive_nominal,1,sch_20260630_0149,,,unknown,0,doc_sch_20260630_0149_002
mv_3c17f10ab84f,北控水务集团有限公司,北控水务集团有限公司,eligible,screened_no_direct_formal_event,1,exp2_20260703_0002,,,unknown,0,doc_exp2_20260703_0002_009
mv_3d109f7a463f,无锡市国联发展集团有限公司,无锡市国联发展(集团)有限公司,ineligible,screen_positive_nominal,4,sch_20260630_0022;sch_20260630_0067;sch_20260630_0103;sch_20260630_0104,,,unknown,0,doc_sch_20260630_0022_003
mv_457ad56917e5,江苏省国信集团有限公司,江苏省国信集团有限公司,ineligible,screen_positive_nominal,1,exp9_20260704_0141,,,unknown,0,doc_exp9_20260704_0141_007
mv_461cc47ac7bb,中国交通建设股份有限公司,中国交通建设股份有限公司,ineligible,screened_no_direct_formal_event,2,sch_20260630_0086;sch_20260630_0092,,,unknown,0,doc_sch_20260630_0086_004
mv_46a8889cdc37,青岛国信发展集团有限责任公司,青岛国信发展(集团)有限责任公司,eligible,screen_positive_nominal,1,exp8_20260703_0017,,,unknown,0,doc_exp8_20260703_0017_003
mv_46f0d1b309fc,乌鲁木齐交通旅游投资集团有限公司,乌鲁木齐交通旅游投资(集团)有限公司,eligible,screen_positive_nominal,1,sch_20260630_0127,,,unknown,0,doc_sch_20260630_0127_002
mv_48ea3687a4e1,南京溧水经济技术开发集团有限公司,南京溧水经济技术开发集团有限公司,eligible,screen_positive_nominal,1,exp8_20260703_0042,,,unknown,0,doc_exp8_20260703_0042_004
mv_4aa0191176be,湖北楚天智能交通股份有限公司,湖北楚天智能交通股份有限公司,ineligible,screen_positive_nominal,1,exp10_20260704_0192,,,unknown,0,doc_exp10_20260704_0192_002
mv_4f02e2b3b4ef,南京江宁经济技术开发集团有限公司,南京江宁经济技术开发集团有限公司,eligible,screen_positive_nominal,1,exp8_20260703_0037,,,unknown,0,doc_exp8_20260703_0037_007
