c_addr_id,addr_name,addr_name_chn,c_admin_type,c_admin_cat_code,x_coord,y_coord,CHGIS_PT_ID,elite_persons,jinshi_persons,juren_persons,ming_persons,qing_persons,first_entry_year,last_entry_year
4934,Le'an,樂安,Xian,21,118.400307,37.049801,85259,27,27,9,27,0,1415,1637
20072,Han Army Bordered White Banner,漢軍鑲白旗,Baqi,9,,,,27,27,0,0,27,1655,1898
4431,An Zhou,安州,Zhou,215,115.81755066,38.875370026,87736,27,25,27,27,0,1430,1586
7991,Laiwu,萊蕪,Xian,21,117.66172791,36.205116272,1034,27,22,5,0,27,1646,1898
8447,Chaoyang,潮陽,Xian,21,116.59406281,23.260953903,301,27,21,6,0,27,1664,1904
7901,Le'an,樂安,Xian,21,115.83177948,27.426288605,820,27,18,10,0,27,1649,1903
7543,Zhenze,震澤,Xian,21,120.63778687,31.167064667000002,40416,27,17,10,0,27,1651,1904
8620,Guanyang,灌陽,Xian,21,111.14469147,25.488653183,361,27,12,18,0,27,1666,1890
8911,Dading Fu,大定府,Fu,62,105.6060791,27.147026062,9571,27,11,16,0,27,1673,1876
7251,Dongguang,東光,Xian,21,116.53282166,37.884555817,51,27,11,16,0,27,1646,1895
20079,Plain White Banner,正白旗,Baqi,9,,,,26,26,1,0,26,1651,1903
5088,Ji Xian,汲縣,Xian,21,114.070267,35.410385,82256,26,26,18,26,0,1394,1589
6058,Haicheng,海澄,Xian,21,117.851143,24.411411,40332,26,26,6,26,0,1580,1643
4656,Wuwei Zhou,無為州,Zhou,215,117.91131592,31.29851532,43044,26,26,12,24,2,1415,1724
5740,Mei Zhou,眉州,Zhou,215,103.83145905,30.05050087,96609,26,26,22,26,0,1439,1565
20064,Mongol Bordered White Banner,蒙古鑲白旗,Baqi,9,,,,26,26,0,0,26,1727,1903
5585,Qi Zhou,蘄州,Zhou,215,115.34519958,30.062501907,43548,26,26,12,26,0,1385,1625
5410,Dinghai,定海,Xian,21,121.711716,29.953701,40745,26,25,10,26,0,1371,1634
4509,Quzhou,曲周,Xian,21,114.949653,36.779305,44835,26,25,14,26,0,1454,1637
5425,Leqing,樂清,Xian,21,120.957687,28.130676,40680,26,25,14,26,0,1421,1616
5150,Luoshan,羅山,Xian,21,114.52224,32.202374,83089,26,25,16,26,0,1406,1640
5903,Changshou,長壽,Xian,21,112.58925629,31.169826508,43571,26,25,17,26,0,1397,1640
4718,Gaoping,高平,Xian,21,112.919586,35.792057,95712,26,25,17,26,0,1439,1640
5445,Anren,安仁,Xian,21,116.903259,28.40443,41187,26,24,17,26,0,1404,1565
5043,Lanyang,蘭陽,Xian,21,114.81012,34.826515,44371,26,24,12,26,0,1394,1637
7420,Changzhi,長治,Xian,21,113.10348511,36.18353653,1138,26,20,7,0,26,1646,1894
7310,Zaoqiang,棗強,Xian,21,115.71807861,37.502639771,6,26,19,8,0,26,1649,1904
7252,Wuqiao,吳橋,Xian,21,116.5037384,37.606761932,45,26,18,9,0,26,1647,1890
7409,Shouyang,壽陽,Xian,21,113.1687088,37.8867836,1121,26,18,10,1,25,1643,1874
7729,Shou Zhou,壽州,Zhou,215,116.77711487,32.575748444,1704,26,17,9,0,26,1647,1892
7281,Anping,安平,Xian,21,115.51057434,38.23052597,1741,26,17,10,0,26,1649,1890
7912,Yichun,宜春,Xian,21,114.37588501,27.794265747,816,26,17,9,0,26,1723,1898
8190,Song Xian,嵩縣,Xian,21,112.0875473,34.147212982,552,26,17,9,0,26,1652,1880
7265,Xiong Xian,雄縣,Xian,21,116.09270477,38.975879669,28,26,17,9,0,26,1646,1771
5417,Xianju,仙居,Xian,21,120.73346,28.852207,40676,26,15,18,26,0,1385,1630
20331,Baoshan,保山,Xian,21,99.166862,25.112436,1554,26,14,14,0,26,1702,1894
7725,Huaiyuan,懷遠,Xian,21,117.19355774,32.95664978,1708,26,14,13,0,26,1649,1895
8231,Luotian,羅田,Xian,21,115.39039612,30.790346146,674,26,14,12,0,26,1679,1895
7938,Longnan,龍南,Xian,21,114.784775,24.899044,846,26,14,13,0,26,1709,1895
7379,Linyu,臨榆,Xian,21,119.77024078,40.010192871,124,26,12,15,0,26,1763,1904
8675,Han Zhou,漢州,Zhou,215,104.2830658,30.981309891,1233,26,9,18,0,26,1699,1897
8302,Ningxiang,寧鄉,Xian,21,112.55047607,28.259300232,705,26,2,25,0,26,1723,1867
7782,Funing Fu,福寧府,Fu,62,119.99039459,26.883462906,32019,26,1,25,0,26,1694,1694
8313,Yongzhou Fu,永州府,Fu,62,111.61256409,26.210338593,9626,26,0,26,0,26,,
5342,Jiaxing Fu,嘉興府,Fu,62,120.75320435,30.767469406,32081,25,25,17,25,0,1404,1643
5457,Jianchang,建昌,Xian,21,115.761818,29.087832,41139,25,25,7,25,0,1404,1640
4892,Jining Zhou,濟寧州,Zhou,215,116.5778656,35.410430908,9677,25,25,3,25,0,1397,1646
8036,Linqing Zhilizhou,臨清直隸州,Zhilizhou,212,115.70152283,36.846214294,9670,25,25,3,0,25,1646,1877
4654,Shucheng,舒城,Xian,21,116.938538,31.456448,43177,25,25,14,25,0,1388,1634
5209,Pucheng,蒲城,Xian,21,109.585121,34.955936,70337,25,25,14,25,0,1464,1643
4402,Ba Zhou,霸州,Zhou,215,116.39524841,39.101539612,88200,25,25,17,25,0,1442,1619
5198,Tong Zhou,同州,Zhou,215,109.939,34.79724,111039,25,24,16,25,0,1385,1640
4416,Ansu,安肅,Xian,21,115.657387,39.019436,44750,25,24,16,25,0,1472,1625
