c_addr_id,addr_name,addr_name_chn,CHGIS_PT_ID,x_coord,y_coord,GID_2,province_name,province_name_chn,prefecture_name,prefecture_name_chn,prefecture_type,elite_persons,jinshi_persons,juren_persons,ming_persons,qing_persons
5464,Pengze,彭澤,41158,116.551216,29.896095,CHN.16.5_1,Jiangxi,江西,Jiujiang,九江市,PrefectureCity,18,17,6,18,0
4960,Changyi,昌邑,1041,119.39997864,36.855667114,CHN.23.13_1,Shandong,山東|山东,Weifang,潍坊市,PrefectureCity,18,17,14,18,0
5091,Huojia,獲嘉,82264,113.660217,35.268127,CHN.12.13_1,Henan,河南,Xinxiang,新乡市,PrefectureCity,18,17,8,18,0
4785,Jiang Zhou,絳州,9694,111.21614838,35.616409302,CHN.25.11_1,Shanxi,山西,Yuncheng,运城县,PrefectureCity,18,17,11,18,0
4398,Baodi,寶坻,88197,117.302422,39.725895,CHN.27.1_1,Tianjin,天津|天津,Tianjin,天津|天津,Municipality,18,16,14,18,0
8828,Luzhou Zhilizhou,瀘州直隸州,9723,105.43700409,28.884363174,CHN.26.10_1,Sichuan,四川,Luzhou,泸州市,PrefectureCity,18,16,6,0,18
6775,Longxi,隴西,239,104.63560486,35.007137299,CHN.5.2_1,Gansu,甘肅|甘肃,Dingxi,定西市,PrefectureCity,18,16,2,0,18
7919,Yongfeng,永豐,819,115.43271637,27.322114944,CHN.16.3_1,Jiangxi,江西,Ji'an,吉安市,PrefectureCity,18,15,3,0,18
8004,Wenshang,汶上,1056,116.48555756,35.729854584,CHN.23.6_1,Shandong,山東|山东,Jining,济宁市,PrefectureCity,18,15,4,0,18
9037,Hanyin Ting,漢陰廳,974,108.51544189,32.89522934,CHN.22.1_1,Shaanxi,陝西|陕西,Ankang,安康市,PrefectureCity,18,15,3,0,18
5593,Jianli,監利,43708,112.900253,29.815758,CHN.13.6_1,Hubei,湖北,Jingzhou,荆州市,PrefectureCity,18,14,10,18,0
7417,Wuxiang,武鄉,1136,112.9162674,36.826816559,CHN.25.1_1,Shanxi,山西,Changzhi,长治市,PrefectureCity,18,13,8,0,18
7335,Ci Zhou,磁州,60,114.37424469,36.359043121,CHN.10.4_1,Hebei,河北,Handan,邯郸市,PrefectureCity,18,13,5,0,18
6774,Jingning Zhou,靜寧州,245,105.7288208,35.524097443,CHN.5.10_1,Gansu,甘肅|甘肃,Pingliang,平凉市,PrefectureCity,18,13,5,0,18
7269,Mancheng,滿城,26,115.31562042,38.947723389,CHN.10.1_1,Hebei,河北,Baoding,保定市,PrefectureCity,18,12,7,0,18
7735,Xuyi,盱眙,43293,118.4953,33.01474,CHN.15.2_1,Jiangsu,江蘇|江苏,Huai'an,淮安市,PrefectureCity,18,12,6,0,18
8077,Mi Xian,密縣,563,113.35456085,34.514629364,CHN.12.16_1,Henan,河南,Zhengzhou,郑州市,PrefectureCity,18,11,7,0,18
5587,Guangji,廣濟,43553,115.591202,30.136482,CHN.13.3_1,Hubei,湖北,Huanggang,黄冈市,PrefectureCity,18,11,13,18,0
7965,Changqing,長清,1022,116.72324371,36.552829742,CHN.23.5_1,Shandong,山東|山东,Jinan,济南市,PrefectureCity,18,11,9,0,18
7874,Shangrao,上饒,805,117.96488953,28.450689316,CHN.16.8_1,Jiangxi,江西,Shangrao,上饶市,PrefectureCity,18,10,9,0,18
8625,He Xian,賀縣,388,111.65885162,24.336818695,CHN.7.8_1,Guangxi,廣西壯族自治區|广西壮族自治区,Hezhou,贺州市,PrefectureCity,18,7,11,0,18
6912,Pu'an,普安,510,104.95207977,25.788410187,CHN.8.7_1,Guizhou,貴州|贵州,QianxinanBuyeiandMiao,黔西南布依族苗族自治州,AutonomousPrefecture,18,6,12,0,18
8273,Donghu,東湖,663,111.28712463,30.704227448,CHN.13.17_1,Hubei,湖北,Yichang,宜昌市,PrefectureCity,18,5,13,6,12
7372,Yongping Fu,永平府,9515,118.86195374,39.877323151,CHN.10.7_1,Hebei,河北,Qinhuangdao,秦皇岛市,PrefectureCity,18,1,17,0,18
8997,Fuzhou Zhilizhou Zhixiadifang,鄜州直隸州直轄地方,9662,109.36716461,35.995628357,CHN.22.9_1,Shaanxi,陝西|陕西,Yan'an,延安市,PrefectureCity,18,1,17,0,18
8520,Si'en Fu,思恩府,9563,108.20142365,23.428482056,CHN.7.11_1,Guangxi,廣西壯族自治區|广西壮族自治区,Nanning,南宁市,PrefectureCity,18,0,18,0,18
4878,Qufu,曲阜,45185,116.986059,35.597553,CHN.23.6_1,Shandong,山東|山东,Jining,济宁市,PrefectureCity,17,17,4,16,1
5366,Tonglu,桐廬,40815,119.66493988,29.802457809,CHN.31.1_1,Zhejiang,浙江,Hangzhou,杭州市,PrefectureCity,17,17,7,17,0
4665,Qianshan,潛山,43002,116.5672,30.630346,CHN.1.1_1,Anhui,安徽|安徽,Anqing,安庆市,PrefectureCity,17,17,12,17,0
4787,Jishan,稷山,95237,110.978828,35.602161,CHN.25.11_1,Shanxi,山西,Yuncheng,运城县,PrefectureCity,17,17,11,17,0
5207,Huayin,華陰,70329,110.089363,34.56831,CHN.22.6_1,Shaanxi,陝西|陕西,Weinan,渭南市,PrefectureCity,17,17,9,17,0
4761,Xiangling,襄陵,95446,111.396492,36.023994,CHN.25.5_1,Shanxi,山西,Linfen,临汾市,PrefectureCity,17,17,7,17,0
5072,Zheng Zhou,鄭州,116189,113.64131165,34.758075714,CHN.12.16_1,Henan,河南,Zhengzhou,郑州市,PrefectureCity,17,17,7,17,0
4425,Xiong Xian,雄縣,44775,116.092705,38.97588,CHN.10.1_1,Hebei,河北,Baoding,保定市,PrefectureCity,17,17,9,17,0
7817,Longyan Zhilizhou,龍巖直隸州,32101,117.02915955,25.103721619,CHN.4.2_1,Fujian,福建,Longyan,龙岩市,PrefectureCity,17,17,1,0,17
8985,Suide Zhilizhou,綏德直隸州,9656,110.2540741,37.500980377,CHN.22.10_1,Shaanxi,陝西|陕西,Yulin,榆林市,PrefectureCity,17,16,2,0,17
4671,Wuhu,蕪湖,41368,118.362618,31.334949,CHN.1.16_1,Anhui,安徽|安徽,Wuhu,芜湖市,PrefectureCity,17,16,6,17,0
5062,Xu Zhou,許州,116032,113.81974792,34.031391144,CHN.12.15_1,Henan,河南,Xuchang,许昌市,PrefectureCity,17,16,11,17,0
4855,Ling Xian,陵縣,45175,116.577203,37.331113,CHN.23.2_1,Shandong,山東|山东,Dezhou,德州市,PrefectureCity,17,16,11,17,0
5583,Huangpi,黃陂,43481,114.365593,30.875669,CHN.13.12_1,Hubei,湖北,Wuhan,武汉市,PrefectureCity,17,16,10,17,0
7825,Nanjing,南靖,40338,117.50569153000001,24.572994232,CHN.4.9_1,Fujian,福建,Zhangzhou,漳州市,PrefectureCity,17,15,2,0,17
4802,Datong,大同,95011,113.296387,40.092838,CHN.25.2_1,Shanxi,山西,Datong,大同市,PrefectureCity,17,15,11,17,0
5455,Duchang,都昌,41133,116.189186,29.272564,CHN.16.5_1,Jiangxi,江西,Jiujiang,九江市,PrefectureCity,17,15,9,17,0
4521,Wei Xian,魏縣,44796,114.928261,36.357582,CHN.10.4_1,Hebei,河北,Handan,邯郸市,PrefectureCity,17,15,11,17,0
7909,Shanggao,上高,788,114.92675018,28.241369247,CHN.16.10_1,Jiangxi,江西,Yichun,宜春市,PrefectureCity,17,14,4,0,17
5510,Ningdu,寧都,40868,116.010101,26.466515,CHN.16.2_1,Jiangxi,江西,Ganzhou,赣州市,PrefectureCity,17,14,10,17,0
7406,Lin Xian,臨縣,1104,110.98311615,37.952896118,CHN.25.6_1,Shanxi,山西,Luliang,吕梁市,PrefectureCity,17,14,3,0,17
7699,Shucheng,舒城,1750,116.9385376,31.456447601,CHN.1.12_1,Anhui,安徽|安徽,Lu'an,六安市,PrefectureCity,17,14,3,0,17
7231,Yongqing,永清,107,116.49060822,39.325710297,CHN.10.6_1,Hebei,河北,Langfang,廊坊市,PrefectureCity,17,12,6,0,17
7705,Qianshan,潛山,1680,116.56719971,30.630346298,CHN.1.1_1,Anhui,安徽|安徽,Anqing,安庆市,PrefectureCity,17,12,5,0,17
7462,Xiangling,襄陵,1126,111.396492,36.023994446,CHN.25.5_1,Shanxi,山西,Linfen,临汾市,PrefectureCity,17,12,5,0,17
8804,Qu Xian,渠縣,1249,106.96224213,30.844326019,CHN.26.3_1,Sichuan,四川,Dazhou,达州市,PrefectureCity,17,11,8,0,17
8267,Gong'an,公安,678,112.07810211,29.91450119,CHN.13.6_1,Hubei,湖北,Jingzhou,荆州市,PrefectureCity,17,10,7,0,17
7195,Xi'e,嶍峨,1597,102.39842987,24.166213989,CHN.30.15_1,Yunnan,雲南|云南,Yuxi,玉溪市,PrefectureCity,17,10,7,0,17
4901,Pingyin,平陰,85695,116.448669,36.286934,CHN.23.5_1,Shandong,山東|山东,Jinan,济南市,PrefectureCity,17,10,13,17,0
7987,Boshan,博山,1779,117.85346985,36.498119354,CHN.23.17_1,Shandong,山東|山东,Zibo,淄博市,PrefectureCity,17,9,8,0,17
8224,Jiayu,嘉魚,682,113.89557648,29.975599289,CHN.13.14_1,Hubei,湖北,Xianning,咸宁市,PrefectureCity,17,8,9,0,17
7404,Pingyao,平遙,1111,112.17759705,37.207260132,CHN.25.4_1,Shanxi,山西,Jinzhong,晋中市,PrefectureCity,17,7,11,0,17
8602,Xiang Zhou,象州,418,109.68245697,23.958055496,CHN.7.9_1,Guangxi,廣西壯族自治區|广西壮族自治区,Laibin,来宾市,PrefectureCity,17,7,10,0,17
7656,Kaihua,開化,40635,118.40488434,29.144849777,CHN.31.7_1,Zhejiang,浙江,Quzhou,衢州市,PrefectureCity,17,7,10,0,17
