GID_2,NAME_1,NL_NAME_1,NAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,area_sqkm_approx
CHN.11.8_1,Heilongjiang,黑龙江省|黑龍江省,Mudanjiang,牡丹江市,Dìjíshì,PrefectureCity,38546.841
CHN.11.9_1,Heilongjiang,黑龙江省|黑龍江省,Qiqihar,齐齐哈尔市,Dìjíshì,PrefectureCity,42151.744
CHN.11.10_1,Heilongjiang,黑龙江省|黑龍江省,Qitaihe,七台河市,Dìjíshì,PrefectureCity,5331.945
CHN.11.11_1,Heilongjiang,黑龙江省|黑龍江省,Shuangyashan,双鸭山市,Dìjíshì,PrefectureCity,23045.656
CHN.11.12_1,Heilongjiang,黑龙江省|黑龍江省,Suihua,绥化市,Dìjíshì,PrefectureCity,35316.393
CHN.11.13_1,Heilongjiang,黑龙江省|黑龍江省,Yichun,伊春市,Dìjíshì,PrefectureCity,32845.840
CHN.12.1_1,Henan,河南,Anyang,安阳市,Dìjíshì,PrefectureCity,7277.618
CHN.12.2_1,Henan,河南,Hebi,鹤壁市,Dìjíshì,PrefectureCity,2152.924
CHN.12.3_1,Henan,河南,Jiaozuo,焦作市,Dìjíshì,PrefectureCity,4203.316
CHN.12.4_1,Henan,河南,Jiyuanshi,济源市,Dìjíshì,PrefectureCity,1892.332
CHN.12.5_1,Henan,河南,Kaifeng,开封市,Dìjíshì,PrefectureCity,6255.207
CHN.12.6_1,Henan,河南,Luohe,漯河市,Dìjíshì,PrefectureCity,2646.729
CHN.12.7_1,Henan,河南,Luoyang,洛阳市,Dìjíshì,PrefectureCity,15043.311
CHN.12.8_1,Henan,河南,Nanyang,南阳市,Dìjíshì,PrefectureCity,26592.964
CHN.12.9_1,Henan,河南,Pingdingshan,平顶山市,Dìjíshì,PrefectureCity,7886.647
CHN.12.10_1,Henan,河南,Puyang,濮阳市,Dìjíshì,PrefectureCity,4192.251
CHN.12.11_1,Henan,河南,Sanmenxia,三门峡市,Dìjíshì,PrefectureCity,9927.303
CHN.12.12_1,Henan,河南,Shangqiu,商丘市,Dìqu,Prefecture,10722.972
CHN.12.13_1,Henan,河南,Xinxiang,新乡市,Dìjíshì,PrefectureCity,8235.375
